account_id,cluster_id,cluster_size
ACC11bc9fa634,15,35
ACC11ccba20f5,15,35
ACC185e6f148f,1,35
ACC1ea010013b,1,35
ACC1f40787c32,1,35
ACC31fffce7df,1,35
ACC406eb9b646,1,35
ACC5c42a1e92a,1,35
ACC67a6643432,1,35
ACC6e55a422f7,1,35
ACC78ad50aace,1,35
ACC7dc0709fc2,1,35
ACCa47435ccca,1,35
ACCa4f3e51918,1,35
ACCac64687213,1,35
ACCcfb0a22361,1,35
ACC1b594b6b2b,2,12
ACC529552ebe1,2,12
ACCb2bb41bc59,2,12
ACC3fd564bb90,3,21
ACCe68abf9588,3,21
ACC11d702b1b0,3,21
ACC3e735ff038,3,21
ACC786f10465a,3,21
ACC84c21529f3,3,21
ACCa8744d209e,3,21
ACCbd51b53287,3,21
ACCeb97ee9384,3,21
ACCf728ba134e,3,21
ACC0dc80546b0,3,21
ACC5d3d811f73,3,21
ACCc0491f3064,4,2
ACCe0cc5aaefd,4,2
ACC12bd4264f8,5,22
ACC3451152809,5,22
ACC71031fbf1b,5,22
ACC14e75ceb6c,6,2
ACC7ab1b53814,6,2
ACC20558addfa,7,37
ACC25331932fa,7,37
ACC48d67cc91f,7,37
ACC5c9eb4e17a,7,37
ACCa560d6d01d,7,37
ACC03f353f89b,8,39
ACC064bd7a390,8,39
ACC3a5d3ba507,8,39
ACC58e5cf7ee6,8,39
ACC5d470de48a,8,39
ACC6b73d4719b,8,39
ACC81ec0e6eb6,8,39
ACC99f6cf9e12,8,39
ACCc1ad4c9a9b,8,39
ACC1fcebaf15e,9,3
ACC2c121ec592,9,3
ACC51e015c5a9,9,3
ACC32ba13c01c,5,22
ACC4925c8fb5b,5,22
ACC5eaa0c14fe,5,22
ACC99455fab46,5,22
ACCb7e2ec1c98,5,22
ACCe748183aad,5,22
ACC2836bea57d,10,25
ACC30cf09a326,10,25
ACC6b4fa8ce48,10,25
ACC730fb7860c,10,25
ACCcb5f0fafbd,10,25
ACCd773815352,10,25
ACC089c72f618,11,3
ACC772f03ccb1,11,3
ACC7c0f08f7f1,11,3
ACC1978659239,12,39
ACC93d08313e7,12,39
ACCabf21d0f30,12,39
ACCaf1dddbd28,12,39
ACCc072c3d740,12,39
