referrer_id,referred_id,is_ring_referral
ACCdc416ba257,ACC3471daf407,True
ACC3471daf407,ACC63a97ca9b6,True
ACC63a97ca9b6,ACC4ab2408188,True
ACC4ab2408188,ACCe5a250a531,True
ACCe5a250a531,ACC55efac37a4,True
ACCdc416ba257,ACC774f2997e8,True
ACC774f2997e8,ACC7c1b6ff174,True
ACCdc416ba257,ACCc535793f2f,True
ACCc535793f2f,ACC0fec4dae5e,True
ACC0fec4dae5e,ACC6a6741001e,True
ACC6a6741001e,ACC73470e0c0b,True
ACCdc416ba257,ACC487b8f6d47,True
ACC487b8f6d47,ACC3b341e0933,True
ACC3b341e0933,ACC3d0de93a53,True
ACC3d0de93a53,ACC4ef12d461e,True
ACCcee837366b,ACCb6788d8536,True
ACCb6788d8536,ACCde6226247e,True
ACCcee837366b,ACC58c784e083,True
ACC58c784e083,ACCf25a7df2e0,True
ACCf25a7df2e0,ACCde947164b3,True
ACCcee837366b,ACCa9a61dfcbc,True
ACCa9a61dfcbc,ACC60990e8d0c,True
ACCd1fb110b94,ACC4d06223886,True
ACC4d06223886,ACCbcb7aab9a5,True
ACCd1fb110b94,ACC0da8c4beb3,True
ACC0da8c4beb3,ACC48d33544a8,True
ACC48d33544a8,ACC7fffcd4abd,True
ACCffaf605123,ACC4a582b47fc,True
ACC4a582b47fc,ACC3ff12bdc41,True
ACC3ff12bdc41,ACC52e11a3711,True
ACCffaf605123,ACC1ad00e4bb5,True
ACC1ad00e4bb5,ACC1d2b22f88d,True
ACCe85fae8988,ACCd38eeea3f6,True
ACCd38eeea3f6,ACCc80906b20e,True
ACCe85fae8988,ACCdc37dbb738,True
ACCdc37dbb738,ACC9d87454a9b,True
ACC9d87454a9b,ACCad73add770,True
ACCad73add770,ACCa1f8856b20,True
ACCa1f8856b20,ACCc9014b286b,True
ACC7cbda6d976,ACC8ab153b5de,True
ACC8ab153b5de,ACCc6073c1115,True
ACCc6073c1115,ACC008d9f39a3,True
ACC7cbda6d976,ACCb67f6e8a50,True
ACCb67f6e8a50,ACC0ed235fa25,True
ACC7cbda6d976,ACC8ff0fdb3e3,True
ACC8ff0fdb3e3,ACC34a44f99b1,True
ACC34a44f99b1,ACC245af4c0c3,True
ACC245af4c0c3,ACC553c8d59d7,True
ACC034024f7b3,ACCbd377eb92b,True
ACCbd377eb92b,ACCecbe80a96a,True
ACCecbe80a96a,ACC307565df21,True
ACC034024f7b3,ACCecf9614499,True
ACCecf9614499,ACCad8d1d72b9,True
ACCad8d1d72b9,ACCe90cb84966,True
ACCe90cb84966,ACCe6138b8fbd,True
ACCe6138b8fbd,ACC9f3d60c491,True
ACC9f3d60c491,ACC034024f7b3,True
ACC3e097f6fe9,ACCf2ba61c88e,True
ACCf2ba61c88e,ACCea8214cd20,True
ACC3e097f6fe9,ACCf149c9a15b,True
ACCf149c9a15b,ACC4daa5dda68,True
ACC3e097f6fe9,ACCacb57fae5a,True
ACCacb57fae5a,ACC8b940f9bc3,True
ACC8b940f9bc3,ACCcf5910b682,True
ACC3e097f6fe9,ACCc65b64f2e4,True
ACCc65b64f2e4,ACCfebfabe4e5,True
ACCfebfabe4e5,ACC3e98bf79f7,True
ACC7bd68e296b,ACC2bb461156f,False
ACC7bd68e296b,ACCe33867fff5,False
ACC7bd68e296b,ACCbe585137f9,False
ACC9864d0e82a,ACCc72b3da496,False
ACCe955ddb29f,ACC039c673cb6,False
ACCa8b7447619,ACC01b6e180f0,False
ACCa8b7447619,ACC3c8c9055c7,False
ACCa8b7447619,ACC8c7b74dc4e,False
ACC12bd0aceae,ACC9915ab409b,False
ACC12bd0aceae,ACC6af9ab4f70,False
ACCb5dc77e3ff,ACC04860c04b7,False
ACC0216f3962d,ACCd33f369171,False
ACC0216f3962d,ACCafb77e84f7,False
ACC0216f3962d,ACCa3d4612fd1,False
ACCc5ff8924d6,ACCa9a32bee6e,False
ACC6f17f813b8,ACCf00959b436,False
ACC47acb1a003,ACC3647ab6154,False
ACC5454b06eb2,ACC06a29313f9,False
ACCb150ba539a,ACC300521d4b3,False
ACCb150ba539a,ACCdaa865bc28,False
ACCb150ba539a,ACC9352a9d1b6,False
ACC4a607482b9,ACCc9828b34bc,False
ACC5994e42ad1,ACC3fe11cec18,False
ACC9946d61c07,ACC5f9bfff474,False
ACC9946d61c07,ACC829bb55958,False
ACC8024f4496c,ACCef9e66f0bc,False
ACC8024f4496c,ACC5a51bb7776,False
ACC8024f4496c,ACC904c4fa665,False
ACC8af406cbed,ACC10ffdf8b39,False
ACC8af406cbed,ACCfe527218c1,False
ACC8af406cbed,ACCd1d05840d3,False
ACCb390d6af03,ACC9896ee189f,False
ACCb390d6af03,ACCf3b34497b3,False
ACCb390d6af03,ACC81d6b6c273,False
ACC7b135e69b3,ACCf31efe5ee6,False
ACC7b135e69b3,ACC560dd7fbb5,False
ACCf4d701e6fb,ACCad9dea7d3f,False
ACCf4d701e6fb,ACC0f2251801c,False
