account_id,ring_id,is_ring_member,coincidental_group_id,referral_ring_id,is_referral_ring_member
ACCa043bae160,,False,,,False
ACCe9b37ea22b,,False,,,False
ACC310890b010,,False,COINC0024,,False
ACC8e3b36a45c,,False,,,False
ACCdfbe32c262,,False,,,False
ACCa8cfba4a91,,False,,,False
ACC8636e9bdc6,,False,,,False
ACC104af6b1ba,,False,,,False
ACC49786b5b44,,False,,,False
ACCcaae68aed1,,False,,,False
ACC7b1f932881,,False,,,False
ACC01aefb61ad,,False,,,False
ACCdaea479b14,,False,,,False
ACCf4b3735f5e,,False,,,False
ACC299b69486c,,False,,,False
ACC1bf1867245,,False,,,False
ACCb561661db3,,False,,,False
ACCa11a4baed5,,False,,,False
ACC5eb811278d,,False,,,False
ACCb508d2c7ba,,False,,,False
ACC12554f028e,,False,,,False
ACC82d89c28dd,,False,,,False
ACCfd6fedeb32,,False,,,False
ACCfb45d8b4d5,,False,,,False
ACC4738eb2993,,False,,,False
ACC312742bc9c,,False,,,False
ACC8707cb6db9,,False,,,False
ACCc2f3e99cd3,,False,,,False
ACC45e7cbc535,,False,,,False
ACC60b848b6f2,,False,,,False
ACC96c43146c2,,False,,,False
ACC54c5e3f2c0,,False,,,False
ACC473777b54c,,False,,,False
ACCb86262abaf,,False,,,False
ACC05485b44df,,False,,,False
ACCe4de151aa0,,False,,,False
ACCbda488b40e,,False,,,False
ACCb1e5684fa7,,False,,,False
ACC2403d6e7b9,,False,,,False
ACC1f3ac1dc1f,,False,,,False
ACC2fdcf82009,,False,,,False
ACCb503b5cb07,,False,,,False
ACC6c3068fae9,,False,,,False
ACC34bc5b917e,,False,,,False
ACC904c4fa665,,False,,,False
ACC59710a9973,,False,,,False
ACCaa0b66872b,,False,,,False
ACC6f46dcac1b,,False,,,False
ACC7c7d717a16,,False,,,False
ACC29e8d85b83,,False,,,False
ACC6caf0b3dd7,,False,,,False
ACC08c8874a51,,False,,,False
ACC7826c8f2ae,,False,,,False
ACC033b6d2be7,,False,,,False
ACC343a8c6ee0,,False,,,False
ACCfd2d9cd2a4,,False,,,False
ACC9f6388287f,,False,,,False
ACC146a630be8,,False,,,False
ACCeaa9c80797,,False,,,False
ACC7558e401df,,False,,,False
ACC5ed7de82f8,,False,,,False
ACC01036c75b0,,False,,,False
ACC19efa0abc2,,False,,,False
ACC1d2d3719da,,False,,,False
ACCd53868b57f,,False,,,False
ACC6798346219,,False,,,False
ACC8c89fba6e8,,False,,,False
ACCa9a32bee6e,,False,,,False
ACCfd757360b6,,False,,,False
ACC9a2d2b64c7,,False,,,False
ACC1d563309f8,,False,,,False
ACCa7ae85c6bd,,False,,,False
ACC4fc924e800,,False,,,False
ACC8d2f11dc67,,False,,,False
ACC7bb4e90075,,False,,,False
ACCf9ddc66ab2,,False,,,False
ACCac2124a17f,,False,,,False
ACC0f36ca7fcf,,False,,,False
ACCb9b91d4683,,False,,,False
ACC6c342cfe98,,False,,,False
ACC05ab8c258a,,False,,,False
ACCac7a8879e4,,False,,,False
ACC355938cc31,,False,,,False
ACC9da7b189d2,,False,,,False
ACC30a97e0401,,False,,,False
ACC1f59f1db4b,,False,,,False
ACC95f500d5b0,,False,,,False
ACC4a5648a8ea,,False,,,False
ACCcbe31346d0,,False,,,False
ACCc26a5128fd,,False,,,False
ACC5babbb4105,,False,,,False
ACCcae0aa69fd,,False,,,False
ACC4010161a94,,False,,,False
ACCb770734d65,,False,,,False
ACC00e52de016,,False,,,False
ACC5a2c63c667,,False,,,False
ACCf105a50a14,,False,,,False
ACC25f47c290e,,False,,,False
ACC2950065656,,False,,,False
ACCafb4a53f5e,,False,,,False
ACC978a9a9121,,False,,,False
ACC91005d12e7,,False,,,False
ACC7b7bd95451,,False,,,False
ACC9d423a4289,,False,,,False
ACCcd392db84c,,False,,,False
ACC21f43a1082,,False,,,False
ACCd601e5b718,,False,,,False
ACCa9e663150a,,False,,,False
ACC36a3bf7e25,,False,,,False
ACC644875b3e0,,False,,,False
ACCeb1ac52be6,,False,,,False
ACCc37ad8a0af,,False,,,False
ACCaea7c539e1,,False,,,False
ACCde3becdb4d,,False,,,False
ACCf7b196fb42,,False,,,False
ACCf23a4aab9a,,False,,,False
ACCed4df6511b,,False,,,False
ACC0638e6e0c4,,False,,,False
ACCe691064a35,,False,,,False
ACC16e809b209,,False,,,False
ACCdd3f2f8fcc,,False,,,False
ACC1b5b379725,,False,,,False
ACC41f2656b6c,,False,,,False
ACC22230d6c72,,False,,,False
ACC7014fcf856,,False,,,False
ACC67ef0f0cb8,,False,,,False
ACCadbdb0ee75,,False,,,False
ACC376371fe6d,,False,,,False
ACCbc640120fd,,False,,,False
ACC6fe43dbf1c,,False,,,False
ACC7d64551c70,,False,,,False
ACC7675dc85fb,,False,,,False
ACC723ab402e9,,False,,,False
ACC14a8efe2e5,,False,,,False
ACC66eee926ec,,False,,,False
ACCbd198bb88f,,False,,,False
ACCa97d2cae1d,,False,,,False
ACCe56812bea7,,False,,,False
ACCee72b17357,,False,,,False
ACC1bc037cf0d,,False,,,False
ACC04add70005,,False,,,False
ACC5f40542913,,False,,,False
ACCacee0148eb,,False,COINC0009,,False
ACC4188290e83,,False,,,False
ACCa24347c657,,False,,,False
ACCce53bf00f1,,False,,,False
ACC73297b93c4,,False,,,False
ACCb3171991ae,,False,,,False
ACC9ee35ef353,,False,,,False
