account_id,cluster_id,cluster_size
ACC30f1f7846c,0,4
ACC75083f7bcb,0,4
ACCcac54fcda5,0,4
ACCcfa5f77ce3,0,4
ACC04484b18db,1,22
ACC11e6ca2020,1,22
ACC414ff7ec46,1,22
ACC4d369f7b7d,1,22
ACCbbca4b192b,1,22
ACCd656850826,1,22
ACCd7b6490101,1,22
ACC00f93db210,2,31
ACC04a92a4113,2,31
ACC0f59e59886,2,31
ACC112e2b96dc,2,31
ACC99dd050b3e,2,31
ACC9cff33bc5b,2,31
ACCa6f67e291a,2,31
ACCa80f5e5f63,2,31
ACCae83f8e00b,2,31
ACCb93645b00e,2,31
ACC03511b6e9c,3,31
ACC119644838f,3,31
ACC18db12bb00,3,31
ACC24a3a4a8f5,3,31
ACC3dc6f2ee15,3,31
ACC4ad46ab802,3,31
ACC73ca5becaf,3,31
ACC8724d34e3b,3,31
ACCb760dc0e2d,3,31
ACCb988bc32f4,3,31
ACCc1fd9ff866,3,31
ACC75e33d23e2,4,2
ACCf89dfaef42,4,2
ACC2104e27570,2,31
ACC260a9790a4,2,31
ACC3f1a6d6e09,2,31
ACC7023e5dd32,2,31
ACCa0936f9566,2,31
ACCc43b57dd52,2,31
ACCdc46407fbe,2,31
ACCe66c94a0bc,2,31
ACCea3c2b4101,2,31
ACCf3afab6e39,2,31
ACCfe7f863c51,2,31
ACC0b629cb9c8,6,5
ACC680e389f7b,6,5
ACCe36e6f1afa,6,5
ACCb200f28714,7,28
ACCee59e079df,7,28
ACC1187d116f4,7,28
ACC71f0c786cf,7,28
ACC7b8d1c79a9,7,28
ACC9b140ab171,7,28
ACCbccaaec424,7,28
ACCc84c448886,7,28
ACC26e4daad0a,8,37
ACC276fb39ac3,8,37
ACC45370e5099,8,37
ACC85b77514ac,8,37
ACC8ca534f864,8,37
ACC991b67096f,8,37
ACCa2de4d814e,8,37
ACCf197cc3379,8,37
ACC20fdef38c2,8,37
ACC2971632687,8,37
ACC563a643deb,9,38
ACC59fb7f351a,9,38
ACC5bb8003df7,9,38
ACC639e9797d5,9,38
ACC7cd9d132e3,9,38
ACC8c1ab525ed,9,38
ACCa77b625744,9,38
ACCb9bc101178,9,38
ACC24b8e7f4c1,10,35
ACC97c9d235a3,10,35
ACCb8e2cf46b7,10,35
ACCba1aa8dada,10,35
ACCdc3698611c,10,35
ACCed03b41db0,10,35
ACC5b5e906fd6,11,14
ACCaf8633586b,11,14
ACCb35a0acf6f,11,14
ACCec0400bce8,11,14
ACC0056b24c7d,12,31
ACC0af8c90143,12,31
ACC18cd357c39,12,31
ACC1feb8969f1,12,31
ACC40c32cdded,12,31
ACC55a26f8ea0,12,31
ACC81eb1edb73,12,31
ACCb291198fef,13,12
ACCc8f31652bc,13,12
ACCd4f48cb036,13,12
ACC3c5177adac,15,31
ACC7b1a9981fc,15,31
ACCa5ef5d3728,15,31
ACC7ea4da4f85,11,14
ACCaf37aef923,11,14
ACCe9f22dc75e,11,14
ACC6e75be9489,17,21
ACC79f52ebce5,17,21
ACCa70ed39273,17,21
ACCbc8eeaa2a5,17,21
ACC0029103577,7,28
ACC1b4f7e2494,7,28
ACC3ae7b6cb60,7,28
ACC45a414388c,7,28
ACCa3f4ce11a3,7,28
ACCef5c58d133,7,28
ACC1ba09883b6,21,9
ACC1ea8e3d0b3,21,9
ACC02249da2e1,19,3
ACCd2d088a5e4,19,3
ACCec2467448e,19,3
ACC4225107bf5,20,3
ACC49aca1810b,20,3
ACCe035496009,20,3
ACC03c9eaa274,21,9
ACC09372f0ff9,21,9
ACC2f03757731,21,9
ACC72436e09e2,21,9
ACCe119d729da,21,9
ACC4885455b3b,13,12
ACCf2ddf94270,13,12
ACC2f32a49774,22,25
ACC4345f54d48,22,25
ACC4b9794cd29,22,25
ACC62438a8f84,22,25
ACCb113ad2b11,22,25
ACCb56a4325e3,22,25
ACCb6ee9ecb8e,22,25
ACCc22a52d7e0,22,25
ACC51227d56e2,12,31
ACC7523bb1b2d,12,31
ACCabb81a2378,12,31
ACCbdcf78d2e0,12,31
ACCde7f7a06ba,9,38
ACCe41f05ffcf,9,38
ACC1f18d12895,1,22
ACC98d273f59c,1,22
ACCca87b1cc7f,1,22
ACC1896fa8151,23,2
ACC9009668d1b,23,2
ACC02f2e5052e,8,37
ACC0885b8c88e,8,37
ACC6610c6af79,8,37
