cluster_id,cluster_size,entity_reuse_ratio,internal_density,mean_degree_centrality,max_degree_centrality,mean_pagerank,max_pagerank,mean_betweenness_centrality,max_betweenness_centrality,creation_span_days,creation_std_days,avg_order_amount,order_amount_cv
0,3,0.125,1.0,0.003616636528028933,0.003616636528028933,0.001805054151624549,0.0018050541516245488,0.0,0.0,170,86.63332692061026,702.8553846153845,0.3676896034330126
1,10,0.625,0.8,0.01301989150090416,0.0162748643761302,0.001805054151624549,0.00222102579046848,3.628852360736418e-06,5.607315389924085e-06,337,109.4306477485474,612.1329411764705,0.5037480030304017
2,31,0.736,0.7247311827956989,0.0401329988916759,0.048824593128390596,0.001841169042148829,0.002185474537417658,0.00018077966326861464,0.002524875167458288,204,67.64893565033863,593.3738709677418,0.7598331103724807
3,8,0.4545454545454546,0.6428571428571429,0.009945750452079568,0.0216998191681736,0.0017065948005361368,0.002254685138441832,0.0005082413812033378,0.002943840579710145,381,133.17416094294398,640.765294117647,0.5976313359585631
4,26,0.6538461538461539,0.683076923076923,0.030880511893170124,0.0433996383363472,0.0018050541516245482,0.002375273530433883,2.3690781842955756e-05,7.395317042056172e-05,67,21.28563979631483,527.223125,0.7029156379074598
5,16,0.65625,0.675,0.018309222423146476,0.023508137432188065,0.0018050541516245492,0.0022002041067395207,1.2475119444095892e-05,3.504572118702553e-05,222,84.83935800480026,630.4087096774193,0.5844164187736974
6,21,0.6309523809523809,0.6761904761904762,0.024455351760957547,0.03074141048824593,0.0018050541516245486,0.0023572500446584375,5.0218928047420006e-05,8.526321705669532e-05,376,128.7903797057913,532.4131818181818,0.6713393668771571
7,9,0.6111111111111112,0.8611111111111112,0.013662849105887082,0.0162748643761302,0.0017681778407861717,0.0022537967463454696,4.639117964399768e-05,0.00018115942028985507,244,88.6806066736127,680.406111111111,0.4935457620602141
8,24,0.5882352941176471,0.5434782608695652,0.022603978300180832,0.0325497287522604,0.0018050541516245477,0.002390530395475156,2.6419082125603863e-05,8.557625948930295e-05,546,122.99487440716699,566.1777777777778,0.5300733405560167
9,31,0.6693548387096775,0.6021505376344086,0.032666394446712946,0.0433996383363472,0.0018050541516245477,0.0023202551658677863,4.62879801072386e-05,0.00010334329016394232,396,116.00873159573642,511.17737704918034,0.6829818269692992
10,3,0.11111111111111116,1.0,0.003616636528028933,0.003616636528028933,0.001805054151624549,0.0018050541516245488,0.0,0.0,417,208.8356610671016,1064.3407692307692,0.4636751760688397
11,24,0.6770833333333333,0.6268115942028986,0.02606992163954189,0.0379746835443038,0.0018050541516245482,0.0022633148664158794,3.176440934341498e-05,0.00011057782796913231,387,136.73172717914196,607.6578723404255,0.5431623475515918
12,2,0.07692307692307687,1.0,0.0018083182640144665,0.0018083182640144665,0.0018050541516245488,0.0018050541516245488,0.0,0.0,282,199.40411229460642,1306.4475,0.4545469659442658
13,4,0.11538461538461542,1.0,0.0054249547920434,0.0054249547920434,0.0018050541516245488,0.0018050541516245488,0.0,0.0,596,271.9957107504945,611.0384615384617,0.5699942501528376
14,5,0.4,1.0,0.007233273056057867,0.007233273056057866,0.0018050541516245488,0.002006040680718682,0.0,0.0,313,138.23783852476862,578.1066666666666,0.9742180785456629
15,33,0.6428571428571428,0.6912878787878788,0.040002191900926076,0.05063291139240506,0.0018050541516245486,0.002316885121968335,8.800414725941945e-05,0.0009057971014492754,599,109.40454362898586,675.5163768115942,0.5488368661253571
16,35,0.7428571428571429,0.7277310924369748,0.044742960475329364,0.05244122965641953,0.001805054151624549,0.0021665164701213627,4.720720708275245e-05,0.00011098425281861813,58,18.4683240061636,538.3510769230769,0.7245873731634637
17,15,0.5901639344262295,0.6095238095238096,0.016154309825195903,0.019891500904159132,0.0017745791075355099,0.0022237425095694135,0.00011594202898550723,0.0010144927536231882,268,102.52456151715899,491.68156250000004,0.8630947826225768
18,33,0.7424242424242424,0.6875,0.04011178694722998,0.054249547920433995,0.0018189064443922933,0.002162129518095185,3.2489744264955676e-05,0.00014630067177601343,183,68.68982214758361,534.9908823529413,0.5843990792558499
19,30,0.6666666666666667,0.6804597701149425,0.03568414707655214,0.04701627486437613,0.0018050541516245486,0.002351892987835209,4.5338153597551174e-05,0.00012816134886946905,110,41.70581149724433,498.61174603174607,0.5465760924340178
20,2,0.08333333333333337,1.0,0.0018083182640144665,0.0018083182640144665,0.0018050541516245488,0.0018050541516245488,0.0,0.0,692,489.317892581091,631.7814285714286,0.36357946377938294
21,3,0.125,1.0,0.003616636528028933,0.003616636528028933,0.001805054151624549,0.0018050541516245488,0.0,0.0,245,136.55157755710235,895.2850000000001,0.38523809029699563
22,2,0.08333333333333337,1.0,0.0018083182640144665,0.0018083182640144665,0.0018050541516245488,0.0018050541516245488,0.0,0.0,286,202.23253941935258,753.7275,0.19829896821662896
23,2,0.0714285714285714,1.0,0.0018083182640144665,0.0018083182640144665,0.0018050541516245488,0.0018050541516245488,0.0,0.0,475,335.87572106361006,813.016,0.6654548456217285
