order_id,account_id,amount,timestamp,product
ORD8973ebdfc6,ACC4aad2323b2,1097.62,2026-04-02,Electronics
ORD1814e60b04,ACC4aad2323b2,1480.27,2026-04-18,Beauty
ORDdc70fd6a1c,ACC4aad2323b2,683.73,2026-04-23,Home
ORD929769f472,ACC4aad2323b2,744.65,2026-04-27,Electronics
ORD925dc3989d,ACC4aad2323b2,670.52,2026-04-13,Home
ORD5cc93fb6c0,ACC4aad2323b2,1313.48,2026-03-15,Electronics
ORDa90c6c772b,ACC8aeb37d0b0,1010.4,2026-06-20,Fashion
ORD3592b92a4f,ACC8aeb37d0b0,743.19,2026-06-07,Home
ORDeefc111aaf,ACC8aeb37d0b0,568.7,2026-04-22,Grocery
ORD51cb091915,ACC1c90c37854,469.46,2026-01-11,Beauty
ORD4bad6e2a9d,ACC4100b1bdfc,1163.35,2025-12-15,Grocery
ORD4e511b8780,ACC527525341b,1074.65,2025-03-07,Fashion
ORDca38d80f14,ACC444cb64b3d,1210.14,2025-01-10,Home
ORDd96c35980b,ACC444cb64b3d,488.42,2025-01-13,Beauty
ORDc147f10a42,ACC444cb64b3d,442.74,2025-01-11,Fashion
ORD4352fd6a75,ACC8c78cbbe88,502.32,2025-04-30,Electronics
ORD326cf0d0a3,ACC8c78cbbe88,1610.39,2025-03-30,Grocery
ORD512164dbac,ACC8c78cbbe88,356.76,2025-04-27,Beauty
ORDd4dae1ae1e,ACC8c78cbbe88,1022.54,2025-03-25,Beauty
ORD36fa6cbdc7,ACC3f0b1c196b,2061.07,2025-04-02,Home
ORDbdb4806c47,ACC7b7bf5b5ec,891.89,2024-11-30,Beauty
ORD53be20e813,ACC13521a6381,1034.61,2026-08-30,Home
ORDd7958f4b08,ACC13521a6381,682.65,2026-08-29,Electronics
ORDf4a1a175fd,ACC13521a6381,1413.44,2026-08-30,Electronics
ORDfe50daf793,ACCfcdeed5726,2017.1,2025-11-19,Electronics
ORD79787ddc78,ACCc6e90b4e49,768.0,2025-01-14,Electronics
ORD7e2f09fc9a,ACCc6e90b4e49,712.23,2025-01-16,Grocery
ORD980657d99f,ACCc6e90b4e49,1141.5,2024-12-13,Grocery
ORD75f8d8e114,ACC7e9579c2e4,1036.33,2025-08-03,Fashion
ORDf990d621b6,ACC7e9579c2e4,391.26,2025-08-21,Fashion
ORD01ee644dc3,ACCad8aaa752e,556.21,2025-05-07,Fashion
ORDc9457eb02a,ACCad8aaa752e,1098.87,2025-06-02,Home
ORD585f0eee4d,ACCad8aaa752e,707.71,2025-05-13,Grocery
ORD26aa6c84b0,ACCe0c8ee0030,425.18,2025-12-22,Grocery
ORD64274f0748,ACCe0c8ee0030,1003.6,2025-12-12,Home
ORDfac2a5e157,ACC74f26b4d11,1268.75,2024-09-20,Grocery
ORD1c63129007,ACC9797fd9921,1219.53,2026-08-30,Electronics
ORD7154380cce,ACC9797fd9921,418.62,2026-08-30,Electronics
ORD1ed8c0fb42,ACC26053e2502,642.93,2026-08-30,Home
ORD237de6158a,ACC26053e2502,1052.13,2026-08-14,Beauty
ORDcf34d63785,ACC26053e2502,521.93,2026-08-30,Grocery
ORD4a2fca9735,ACC26053e2502,1009.73,2026-08-30,Electronics
ORD4b0eb2abd2,ACC1f1ab845e7,557.86,2026-05-25,Beauty
ORDe56ce24ac0,ACCb2b046aba3,1059.7,2024-09-28,Home
ORD794df88329,ACC2ad4c76fbf,1202.44,2025-06-01,Fashion
ORDa348656b8d,ACC85e313c721,442.26,2025-02-10,Home
ORDef79d73ad2,ACC85e313c721,952.4,2025-01-29,Grocery
ORD90262e1c45,ACC85e313c721,675.4,2024-12-12,Home
ORDb0b462e629,ACC85e313c721,302.45,2024-12-24,Beauty
ORD368424ec6a,ACC85e313c721,1212.05,2024-12-19,Fashion
ORDa4bc638bb2,ACC6822b69e14,1918.37,2026-08-30,Fashion
ORDec046b4980,ACC3a6e2986f6,1027.8,2026-02-14,Grocery
ORD65386be454,ACC3a6e2986f6,1650.84,2026-02-06,Home
ORD63f2252b36,ACC3a6e2986f6,1193.36,2026-01-12,Fashion
ORD2352b29510,ACC3a6e2986f6,756.86,2026-01-02,Home
ORDc4004242d3,ACC8ca2d75569,627.77,2025-12-30,Electronics
ORD252773f4ed,ACC26d90eb1c0,691.39,2026-04-10,Beauty
ORD4ac32d7655,ACC26d90eb1c0,852.35,2026-04-20,Grocery
ORD1a4f16327c,ACC3fbc0d4bba,833.01,2026-03-05,Home
ORD249c18f749,ACC3fbc0d4bba,250.81,2026-04-19,Fashion
ORD76bd099230,ACC3fbc0d4bba,674.55,2026-03-05,Electronics
ORD810c55ca7f,ACC9f222a3403,1379.58,2025-08-03,Electronics
ORDa041f8a793,ACC9f222a3403,864.12,2025-07-09,Beauty
ORD7f9b3f2a5d,ACC9f222a3403,1203.83,2025-07-19,Home
ORDa1b78a896f,ACC9f222a3403,859.62,2025-07-03,Home
ORDe45b8ecac5,ACC9f222a3403,1257.9,2025-06-07,Beauty
ORDf81b9822a7,ACCd545a30659,690.83,2026-03-01,Fashion
ORDe7816af0d7,ACCd545a30659,702.09,2026-02-24,Beauty
ORD503d3dbcd1,ACCd545a30659,432.98,2026-03-27,Electronics
ORD8cc11b7ef1,ACC20f4a33c38,1358.78,2025-12-22,Home
ORDc91e75cbce,ACC20f4a33c38,1757.85,2025-12-21,Beauty
ORDe54bba3296,ACC20f4a33c38,517.16,2026-01-30,Beauty
ORD67e1e2eb25,ACCdbf647353c,579.59,2025-01-18,Home
ORDd79939f921,ACCdbf647353c,486.82,2025-02-20,Grocery
ORDebaf5d4fb1,ACCdbf647353c,838.63,2025-02-21,Home
ORD36d401cb20,ACC90b7be4ee0,842.82,2026-07-21,Beauty
ORD88f5d86d29,ACC90b7be4ee0,265.38,2026-07-11,Beauty
ORD9f2ed8936e,ACCf9b52b679e,653.96,2025-02-26,Electronics
ORD875b01c595,ACCf9b52b679e,1110.41,2025-01-23,Home
ORDf38e67fea1,ACC55633b4f6a,960.82,2026-04-26,Home
ORDb0f8ae965c,ACC55633b4f6a,1504.83,2026-05-23,Fashion
ORD22049ed782,ACC55633b4f6a,1754.71,2026-05-27,Fashion
ORDa7998841a4,ACC8925ba5402,864.42,2026-02-11,Electronics
ORD3029068d20,ACC8925ba5402,919.22,2026-02-14,Grocery
ORD0835490bb9,ACC123083e826,1162.46,2025-08-27,Beauty
ORD0a5236f801,ACC123083e826,1369.84,2025-09-03,Grocery
ORD1f466708ce,ACC123083e826,547.78,2025-08-15,Fashion
ORDcd3f73e228,ACC7c049e5273,619.68,2025-09-13,Electronics
ORD980e683b83,ACC7c049e5273,1261.3,2025-09-05,Electronics
ORD0ca80779dc,ACC497caae359,345.8,2026-03-07,Beauty
ORD5a28dcf49c,ACC497caae359,1382.64,2026-03-02,Beauty
ORDc34098698f,ACCd985c1aa10,801.85,2025-04-21,Electronics
ORD4e6629afd4,ACCd985c1aa10,1254.99,2025-03-13,Home
ORD2a7a1e1df6,ACCd87269bc37,952.64,2025-01-16,Home
ORD0f60553857,ACC9f6f59c91e,493.96,2024-11-16,Fashion
ORDeac6b1eed0,ACC1c3bc7b875,449.74,2025-08-11,Home
ORD1458e66567,ACC88f908a4a6,756.33,2024-12-30,Electronics
ORD6d8684098a,ACC88f908a4a6,566.56,2025-01-31,Fashion
ORDc514ad509d,ACC88f908a4a6,867.64,2025-01-26,Fashion
ORD4e705d5a58,ACCc1a67ed399,1295.84,2026-05-15,Beauty
ORD78a80bca8c,ACCc1a67ed399,808.03,2026-05-10,Electronics
ORD5ca02079f2,ACCc1a67ed399,1231.54,2026-06-07,Beauty
ORD1491b30cfa,ACCc1a67ed399,1160.24,2026-04-16,Fashion
ORDebb0c995c6,ACC881e84699a,574.4,2026-03-11,Fashion
ORDd5a7e61469,ACC881e84699a,469.25,2026-03-16,Fashion
ORD38c787e541,ACCa67c2f4aaf,4381.58,2025-12-13,Electronics
ORD2864529d3f,ACCa67c2f4aaf,866.42,2025-10-27,Beauty
ORDcf88835780,ACCb0c451060e,364.16,2025-02-25,Beauty
ORDa80a7be1aa,ACCee5ebc1ce5,804.81,2026-04-06,Beauty
ORD4e9eb9e087,ACCf3382d050f,1640.82,2026-04-26,Fashion
ORDd6a4e3fa5e,ACCf3382d050f,754.45,2026-04-05,Grocery
ORDec266befc2,ACC939163adaf,1387.18,2025-01-01,Grocery
ORD5391d13b34,ACC939163adaf,522.94,2025-01-10,Grocery
ORD0754df67bc,ACC12e4973a43,406.19,2025-12-28,Fashion
ORD29251205b6,ACCf764142d93,740.05,2025-12-07,Beauty
ORDfc93af18cd,ACCf764142d93,384.86,2025-12-31,Grocery
ORD069889760f,ACCf764142d93,612.69,2025-11-13,Grocery
ORD93050f0ecb,ACCf764142d93,304.43,2025-12-01,Beauty
ORDee230d82fe,ACCf764142d93,1279.98,2025-12-03,Fashion
ORD096c94c1c3,ACCf764142d93,1286.8,2025-12-24,Fashion
ORD33d1c23040,ACC38c5f68f4b,1823.13,2025-12-23,Fashion
ORDc973e33b78,ACC38c5f68f4b,718.87,2025-12-28,Beauty
ORD7ed4cea688,ACCb9a06543ec,274.1,2026-03-09,Grocery
ORD17c4bd391b,ACC49fae56c55,614.02,2025-07-16,Home
ORDb24437920f,ACC49fae56c55,606.12,2025-07-25,Fashion
ORDae272fc9a4,ACC49fae56c55,918.34,2025-09-05,Fashion
ORD0d803bff74,ACCb0651363fe,694.06,2026-04-11,Grocery
