threshold,n_flagged,fp_cost,fn_cost,total_cost
0.0,954,1723536.478922743,0.0,1723536.478922743
0.0078901023364096,954,1723536.478922743,0.0,1723536.478922743
0.0083155182754289,953,1721755.9660312936,0.0,1721755.9660312936
0.0091622908323884,951,1718194.9402483955,0.0,1718194.9402483955
0.0094320075523011,948,1712853.4015740482,0.0,1712853.4015740482
0.0095772660457156,947,1711072.888682599,0.0,1711072.888682599
0.0096540139787986,945,1707511.8628997009,0.0,1707511.8628997009
0.0097158683803637,944,1705731.3500082516,0.0,1705731.3500082516
0.0097953995671602,943,1703950.8371168026,0.0,1703950.8371168026
0.0098112631475708,942,1702170.3242253535,0.0,1702170.3242253535
0.0098127020612676,941,1700389.8113339043,0.0,1700389.8113339043
0.0099230641859213,939,1696828.7855510062,0.0,1696828.7855510062
0.0100237459479852,936,1691487.2468766586,0.0,1691487.2468766586
0.0100658707274855,935,1689706.7339852096,0.0,1689706.7339852096
0.0101115674536825,934,1687926.2210937606,0.0,1687926.2210937606
0.0102591585212428,933,1686145.7082023113,0.0,1686145.7082023113
0.0103046506022365,932,1684365.1953108623,0.0,1684365.1953108623
0.0104623773258174,931,1682584.6824194132,0.0,1682584.6824194132
0.0104797462543866,930,1680804.169527964,0.0,1680804.169527964
0.0104877256529287,928,1677243.143745066,0.0,1677243.143745066
0.010544477020469,927,1675462.6308536166,0.0,1675462.6308536166
0.0105502412774715,926,1673682.1179621676,0.0,1673682.1179621676
0.0105510415122169,925,1671901.6050707186,0.0,1671901.6050707186
0.0106129081732279,923,1668340.5792878203,0.0,1668340.5792878203
0.0106182205296804,922,1666560.0663963712,0.0,1666560.0663963712
0.0106447907543121,920,1662999.040613473,0.0,1662999.040613473
0.0106714605804128,919,1661218.527722024,0.0,1661218.527722024
0.0107053836166597,917,1657657.5019391256,0.0,1657657.5019391256
0.0107435346131032,916,1655876.9890476766,0.0,1655876.9890476766
0.0108555665633969,914,1652315.9632647783,0.0,1652315.9632647783
0.0109026510444535,912,1648754.93748188,0.0,1648754.93748188
0.0109219738273192,911,1646974.424590431,0.0,1646974.424590431
0.0109385003488284,910,1645193.911698982,0.0,1645193.911698982
0.0109683822229159,909,1643413.3988075326,0.0,1643413.3988075326
0.0109734742523748,908,1641632.8859160836,0.0,1641632.8859160836
0.0110625657241459,906,1638071.8601331853,0.0,1638071.8601331853
0.0110756676718445,904,1634510.834350287,0.0,1634510.834350287
0.0111114318462801,903,1632730.321458838,0.0,1632730.321458838
0.0111259499138734,902,1630949.808567389,0.0,1630949.808567389
0.0111401556916123,899,1625608.2698930416,0.0,1625608.2698930416
0.0111494269274143,898,1623827.7570015923,0.0,1623827.7570015923
0.011183463933541,897,1622047.2441101433,0.0,1622047.2441101433
0.0111948492974545,896,1620266.7312186942,0.0,1620266.7312186942
0.0112153686122207,894,1616705.705435796,0.0,1616705.705435796
0.0112606098047168,893,1614925.192544347,0.0,1614925.192544347
0.0112626228161267,892,1613144.6796528976,0.0,1613144.6796528976
0.0112762096160396,890,1609583.6538699996,0.0,1609583.6538699996
0.0113014381254474,889,1607803.1409785503,0.0,1607803.1409785503
0.0113295824537179,888,1606022.6280871013,0.0,1606022.6280871013
0.0113625832196201,887,1604242.1151956522,0.0,1604242.1151956522
0.0113633230468831,886,1602461.602304203,0.0,1602461.602304203
0.0113637918773892,885,1600681.089412754,0.0,1600681.089412754
0.0114185354501958,882,1595339.5507384066,0.0,1595339.5507384066
0.0114297420315232,881,1593559.0378469576,0.0,1593559.0378469576
0.0114392611380411,878,1585546.7298354364,0.0,1585546.7298354364
0.0114456084758797,877,1583766.2169439874,0.0,1583766.2169439874
0.0114460489296647,875,1580205.191161089,0.0,1580205.191161089
0.0114585966337195,874,1578424.67826964,0.0,1578424.67826964
0.0114649830480693,872,1574863.6524867418,0.0,1574863.6524867418
0.0114927007559899,871,1573083.1395952927,0.0,1573083.1395952927
0.0115008834685275,869,1569522.1138123944,0.0,1569522.1138123944
0.0115028450385112,866,1564180.575138047,0.0,1564180.575138047
0.0115243508404488,865,1562400.0622465978,0.0,1562400.0622465978
0.0115259643748319,864,1560619.5493551488,0.0,1560619.5493551488
0.0115429464772579,861,1555278.0106808015,0.0,1555278.0106808015
0.0115455502012454,859,1551716.9848979032,0.0,1551716.9848979032
0.0115521900062636,858,1549936.4720064541,0.0,1549936.4720064541
0.0115859047809161,857,1548155.959115005,0.0,1548155.959115005
0.0116148375148197,855,1544594.9333321068,0.0,1544594.9333321068
0.0116488322790693,854,1542814.4204406578,0.0,1542814.4204406578
0.0116513640530135,852,1539253.3946577595,0.0,1539253.3946577595
0.0116666701381141,851,1537472.8817663104,0.0,1537472.8817663104
0.0117230745190483,849,1533911.8559834121,0.0,1533911.8559834121
0.0117243177389557,847,1530350.8302005138,0.0,1530350.8302005138
0.0117275319234964,845,1526789.8044176158,0.0,1526789.8044176158
0.0117535525318629,843,1523228.7786347175,0.0,1523228.7786347175
0.0117538550177204,841,1519667.7528518192,0.0,1519667.7528518192
0.0117642420286073,840,1517887.2399603701,0.0,1517887.2399603701
0.0117878084078823,838,1514326.2141774718,0.0,1514326.2141774718
0.0117957380553299,837,1512545.7012860228,0.0,1512545.7012860228
0.0117974653727497,836,1510765.1883945737,0.0,1510765.1883945737
0.0118471405810991,835,1508984.6755031245,0.0,1508984.6755031245
0.0118476370304726,833,1505423.6497202262,0.0,1505423.6497202262
0.0118573959748231,832,1503643.1368287771,0.0,1503643.1368287771
0.011857601548256,831,1501862.623937328,0.0,1501862.623937328
0.0118580408366889,829,1498301.5981544298,0.0,1498301.5981544298
0.0118940664452118,828,1496521.0852629808,0.0,1496521.0852629808
0.0119484786708707,827,1494740.5723715315,0.0,1494740.5723715315
0.0119599997542222,825,1489399.0336971842,0.0,1489399.0336971842
0.0119601877765584,823,1485838.007914286,0.0,1485838.007914286
0.0119787852183325,821,1482276.9821313878,0.0,1482276.9821313878
0.0120018633418045,820,1480496.4692399388,0.0,1480496.4692399388
