account_id,cluster_id,n_shared_resources,within_cluster_degree,within_cluster_edge_weight_sum,creation_date_centrality,order_amount_centrality,account_risk_score
ACC89afb2ab39,0,4,29,3.708495670995671,1.0,0.7655005105023868,0.9364
ACC87b4a2aff4,0,4,27,3.570995670995671,1.0,0.9616441449303186,0.9284
ACC3d034b5c0f,0,4,27,3.6995670995670995,0.896551724137931,0.9877664866091297,0.926
ACCfb61c70378,0,4,27,3.6995670995670995,0.896551724137931,0.7915181337428989,0.8867
ACCeb6ed94cd3,0,4,26,3.5799242424242426,0.9827586206896551,0.6599508695993648,0.8488
ACC4e9ea86eaf,0,4,27,3.6995670995670995,0.9310344827586207,0.5270397188309932,0.8407
ACC1bfbb3d8e4,0,4,27,3.6890151515151515,0.896551724137931,0.5218894260556928,0.8317
ACC07494fe561,0,4,24,3.5802197802197804,0.9137931034482758,0.7412385573289817,0.818
ACC9136501bb7,0,4,27,3.6890151515151515,0.31034482758620685,0.8430052446484515,0.7787
ACC080eba538c,0,3,30,2.7891483516483517,0.9655172413793104,0.8151926819264702,0.7629
ACC0925a04aa4,0,4,26,3.6893106893106893,0.9655172413793104,0.13731532467079133,0.752
ACCf8431b86e0,0,4,23,3.4468864468864466,0.9482758620689655,0.4429131796881136,0.735
ACC19bf8af40d,0,3,26,2.770995670995671,0.9827586206896551,0.9775400766189908,0.7303
ACCe28acb25f2,0,3,24,2.7799242424242423,0.9310344827586207,0.9639954011152514,0.6848
ACC36721f28f5,0,3,24,2.760739260739261,0.9655172413793104,0.9218778633947973,0.6813
ACC57fecdfacf,0,4,25,3.4465909090909093,0.12068965517241381,0.7782597977188834,0.6699
ACC04a94df1c7,0,3,23,2.760739260739261,0.9827586206896551,0.8951986596039898,0.6628
ACCa8c3b0953e,0,3,30,2.7891483516483517,0.48275862068965514,0.7630232649463755,0.6559
ACC3026f86dc3,0,3,25,2.769667832167832,0.9655172413793104,0.6821969928355136,0.6509
ACC6013da860a,0,3,23,2.766233766233766,0.9655172413793104,0.839701705165237,0.6488
ACC7e045d56da,0,3,23,2.52724358974359,0.9137931034482758,0.9577057499149163,0.6378
ACC305223daf6,0,3,21,2.346590909090909,1.0,0.9673518452261481,0.6053
ACCd0ee93666e,0,3,22,2.78021978021978,0.9827586206896551,0.6233714101210371,0.5937
ACC2f2d984a82,0,3,20,2.6516483516483516,0.9137931034482758,0.8676271674535094,0.5824
ACC372387b4c0,0,3,21,2.346590909090909,0.9827586206896551,0.788244046320456,0.566
ACC7a63fbe009,0,3,25,2.769667832167832,0.18965517241379315,0.853179295419441,0.53
ACC6ea62a1253,0,2,23,1.8708333333333331,0.9827586206896551,0.8983096698751233,0.4731
ACCed568c5e38,0,2,18,1.7375,0.9137931034482758,0.8916267791226341,0.3611
ACCf6e85e97e6,0,2,21,1.861904761904762,1.0,0.42552010157688513,0.3477
ACCf778a46fdd,0,2,18,1.8516483516483517,0.4137931034482759,0.9326682258078591,0.2809
ACC77677f1d76,0,2,21,1.861904761904762,0.22413793103448276,0.7025641836761407,0.248
ACC14cff8cc7e,0,2,18,1.8465909090909092,0.1724137931034483,0.6820595498852461,0.182
ACC5dbaaf4795,0,2,21,1.861904761904762,0.0,0.0,0.0626
ACC17c120a0a0,1,4,24,3.507142857142857,1.0,0.9257879058118134,0.9832
ACC5117b66ac5,1,4,20,3.4805555555555556,0.9931740614334471,0.9769311044912053,0.932
