order_id,account_id,amount,timestamp,product
ORD0000001,ACC000001,919.78,2026-07-20,Beauty
ORD0000002,ACC000001,1325.93,2026-06-20,Beauty
ORD0000003,ACC000001,598.35,2026-07-21,Beauty
ORD0000004,ACC000001,615.25,2026-08-01,Electronics
ORD0000005,ACC000002,337.7,2025-06-15,Grocery
ORD0000006,ACC000002,603.94,2025-06-21,Grocery
ORD0000007,ACC000003,562.81,2026-08-13,Home
ORD0000008,ACC000003,274.46,2026-08-04,Fashion
ORD0000009,ACC000004,850.41,2024-10-08,Beauty
ORD0000010,ACC000004,618.25,2024-10-07,Beauty
ORD0000011,ACC000004,592.58,2024-11-25,Beauty
ORD0000012,ACC000005,1284.77,2026-02-02,Beauty
ORD0000013,ACC000005,794.62,2026-02-09,Electronics
ORD0000014,ACC000007,471.42,2025-03-25,Fashion
ORD0000015,ACC000007,3209.17,2025-02-23,Home
ORD0000016,ACC000007,1453.07,2025-03-08,Beauty
ORD0000017,ACC000008,483.03,2025-03-25,Fashion
ORD0000018,ACC000008,362.48,2025-02-13,Grocery
ORD0000019,ACC000008,1177.87,2025-02-16,Fashion
ORD0000020,ACC000008,611.27,2025-03-27,Grocery
ORD0000021,ACC000008,408.0,2025-04-04,Grocery
ORD0000022,ACC000008,515.08,2025-03-10,Electronics
ORD0000023,ACC000008,454.56,2025-02-26,Electronics
ORD0000024,ACC000009,855.62,2025-01-31,Grocery
ORD0000025,ACC000009,1070.28,2024-12-09,Electronics
ORD0000026,ACC000009,1246.99,2025-01-27,Fashion
ORD0000027,ACC000010,525.84,2025-10-02,Beauty
ORD0000028,ACC000010,685.4,2025-10-15,Beauty
ORD0000029,ACC000011,460.1,2026-03-09,Beauty
ORD0000030,ACC000011,439.88,2026-03-11,Beauty
ORD0000031,ACC000011,1200.96,2026-04-23,Grocery
ORD0000032,ACC000012,1576.14,2026-04-07,Electronics
ORD0000033,ACC000012,958.44,2026-04-09,Electronics
ORD0000034,ACC000012,1726.12,2026-03-27,Fashion
ORD0000035,ACC000013,393.56,2026-08-29,Fashion
ORD0000036,ACC000013,1347.3,2026-08-29,Fashion
ORD0000037,ACC000013,1256.87,2026-08-24,Fashion
ORD0000038,ACC000013,807.64,2026-08-29,Home
ORD0000039,ACC000014,719.48,2025-07-31,Home
ORD0000040,ACC000014,646.24,2025-07-21,Electronics
ORD0000041,ACC000014,1027.96,2025-07-25,Electronics
ORD0000042,ACC000015,1427.54,2025-10-11,Beauty
ORD0000043,ACC000015,563.17,2025-10-25,Grocery
ORD0000044,ACC000015,679.11,2025-10-17,Electronics
ORD0000045,ACC000015,657.57,2025-11-16,Grocery
ORD0000046,ACC000015,384.85,2025-10-24,Home
ORD0000047,ACC000015,927.67,2025-11-12,Fashion
ORD0000048,ACC000017,911.54,2026-08-10,Grocery
ORD0000049,ACC000017,674.02,2026-07-28,Fashion
ORD0000050,ACC000018,535.65,2026-03-05,Grocery
ORD0000051,ACC000018,792.61,2026-04-18,Fashion
ORD0000052,ACC000018,346.49,2026-03-08,Grocery
ORD0000053,ACC000018,467.94,2026-03-02,Fashion
ORD0000054,ACC000020,487.03,2024-12-09,Grocery
ORD0000055,ACC000020,1015.86,2024-12-08,Beauty
ORD0000056,ACC000021,702.82,2025-12-01,Electronics
ORD0000057,ACC000022,535.77,2026-04-09,Electronics
ORD0000058,ACC000022,1598.18,2026-04-24,Grocery
ORD0000059,ACC000022,1615.2,2026-05-28,Electronics
ORD0000060,ACC000022,1604.83,2026-04-16,Beauty
