cluster_id,cluster_size,entity_reuse_ratio,internal_density,mean_degree_centrality,max_degree_centrality,mean_pagerank,max_pagerank,mean_betweenness_centrality,max_betweenness_centrality,creation_span_days,creation_std_days,avg_order_amount,order_amount_cv,referral_cycle_ratio,referral_resource_overlap_ratio,median_referral_activation_days,within_cluster_referral_density
0,29,0.7413793103448276,0.6330049261083743,0.02657292043633356,0.035982008995502246,0.001497005988023952,0.0017711719919129532,3.8921330413841736e-05,8.149964399964399e-05,295,79.8451086749235,608.8483636363636,0.7308950285762394,0.0,0.0,0.0,0.0
1,3,0.09999999999999998,1.0,0.0029985007496251873,0.0029985007496251873,0.0014970059880239524,0.0014970059880239522,0.0,0.0,659,368.17160853783025,964.7425000000001,0.6939826053354626,0.0,0.0,0.0,0.0
2,3,0.09999999999999998,1.0,0.0029985007496251873,0.0029985007496251873,0.0014970059880239524,0.0014970059880239522,0.0,0.0,382,195.720038149734,823.512,0.30546322592394537,0.0,0.0,0.0,0.0
3,39,0.6794871794871795,0.601889338731444,0.034290547034175216,0.046476761619190406,0.0014970059880239522,0.0019445564751907824,2.736298278573723e-05,7.924327287072386e-05,326,114.65747264085608,534.1373076923076,0.5246402385473972,0.0,0.0,0.0,0.0
4,35,0.7785714285714286,0.7361344537815127,0.03752409509530948,0.046476761619190406,0.001497005988023952,0.0017253174296761186,1.4173540661086769e-05,3.000179773915584e-05,89,31.462342436580247,600.4269841269842,0.6202940163204393,0.0,0.0,0.0,0.0
5,37,0.7027027027027026,0.6381381381381381,0.03444223834028931,0.047976011994003,0.0014970059880239522,0.0018958502748472328,1.948490581608994e-05,5.0248764709549024e-05,29,6.698236063798168,659.7082499999999,0.5174289973657454,0.0,0.0,0.0,0.0
6,2,0.07692307692307687,1.0,0.0014992503748125937,0.0014992503748125937,0.0014970059880239522,0.0014970059880239522,0.0,0.0,350,247.48737341529164,775.0914285714285,0.30098265614775627,0.0,0.0,0.0,0.0
7,8,0.21875,1.0,0.010494752623688156,0.010494752623688156,0.0014970059880239522,0.0014970059880239522,0.0,0.0,25,8.912270834561271,876.8568,0.6804281046477062,0.0,0.6667,18.0,0.2143
8,2,0.07692307692307687,1.0,0.0014992503748125937,0.0014992503748125937,0.0014970059880239522,0.0014970059880239522,0.0,0.0,237,167.58430714121178,993.5188888888889,0.33129491252776766,0.0,0.0,0.0,0.0
9,4,0.12,1.0,0.004497751124437781,0.004497751124437781,0.001497005988023952,0.001497005988023952,0.0,0.0,633,312.3581011168645,602.3333333333334,0.2703833008946535,0.0,0.0,0.0,0.0
10,33,0.7196969696969697,0.5946969696969697,0.028531188950979055,0.037481259370314844,0.0014970059880239522,0.0018137862356753054,2.549311552219419e-05,7.762703596036928e-05,350,114.39872456377378,536.0946376811594,0.7218452000217076,0.0,0.0,0.0,0.0
11,3,0.10526315789473684,1.0,0.0029985007496251873,0.0029985007496251873,0.0014970059880239524,0.0014970059880239522,0.0,0.0,289,162.69706000211968,992.732222222222,0.9815746255426858,0.0,0.0,0.0,0.0
12,6,0.20833333333333337,1.0,0.007496251874062969,0.0074962518740629685,0.0014970059880239526,0.0014970059880239526,0.0,0.0,27,10.054849576199535,819.4758333333333,0.5041698106999813,0.0,1.0,13.0,0.3333
13,27,0.6944444444444444,0.6125356125356125,0.023876950413682048,0.031484257871064465,0.001497005988023952,0.0018287983921787768,2.173022069517892e-05,5.741397408064075e-05,120,42.96957778922915,580.9405882352942,0.7592215303585054,0.0,0.0,0.0,0.0
14,29,0.7008547008547008,0.7733990147783252,0.03308690482345035,0.05247376311844078,0.0014988699672386786,0.0018503505840483424,0.00012272949473928879,0.003048163177097646,399,123.0098918686499,591.0432786885245,0.5048049550114576,0.0,0.0,0.0,0.0
15,4,0.12,1.0,0.004497751124437781,0.004497751124437781,0.001497005988023952,0.001497005988023952,0.0,0.0,472,235.82249680639038,686.4690909090909,0.4924711841690946,0.0,0.0,0.0,0.0
16,26,0.7115384615384616,0.7569230769230769,0.028370430169530617,0.034482758620689655,0.0014970059880239515,0.0018598649167643777,2.315625300089094e-05,6.170326145816343e-05,400,124.05482658889173,507.403125,0.46866430865831515,0.0,0.0,0.0,0.0
17,3,0.10526315789473684,1.0,0.0029985007496251873,0.0029985007496251873,0.0014970059880239524,0.0014970059880239522,0.0,0.0,463,231.77359642547722,972.3614285714285,0.39696361191617335,0.0,0.0,0.0,0.0
18,30,0.688,0.6781609195402298,0.03008495752123937,0.038980509745127435,0.0014952041414497154,0.0018232034932289499,7.66361604272881e-05,0.00027065204696783644,527,107.41992473412489,604.3152459016393,0.7474205941450934,0.0,0.0,0.0,0.0
19,22,0.7159090909090908,0.658008658008658,0.02071691427013766,0.025487256371814093,0.0014970059880239522,0.001765917413976999,2.04915276464098e-05,6.914056914056914e-05,144,57.515459995797116,598.3275510204081,0.7114902664059878,0.0,0.0,0.0,0.0
20,25,0.6633663366336633,0.6733333333333333,0.02422788605697151,0.029985007496251874,0.0014970059880239522,0.0018872033594140023,2.1664061630391594e-05,3.805266305266305e-05,149,52.1861411998754,576.080925925926,0.5860751127817155,0.0,0.0,0.0,0.0
21,33,0.7121212121212122,0.75,0.035982008995502246,0.04497751124437781,0.0014970059880239524,0.0018860828332990945,9.100009100009099e-07,1.1781011781011781e-06,64,20.640914429473526,573.6854411764706,0.7134866613927225,0.0,0.0,0.0,0.0
22,2,0.07692307692307687,1.0,0.0014992503748125937,0.0014992503748125937,0.0014970059880239522,0.0014970059880239522,0.0,0.0,255,180.31222920256963,976.2014285714287,0.46044103557219157,0.0,0.0,0.0,0.0
23,17,0.46376811594202894,0.34558823529411764,0.00828997266072846,0.013493253373313342,0.0014970059880239524,0.0020168635761265955,1.589825119236884e-05,9.009009009009009e-05,335,112.64810512492119,478.5463888888888,0.5225856457347828,0.0,0.0,0.0,0.0
24,4,0.125,1.0,0.004497751124437781,0.004497751124437781,0.001497005988023952,0.001497005988023952,0.0,0.0,550,236.94637227299623,1048.3855555555556,0.2910622100393616,0.0,0.0,0.0,0.0
25,23,0.6344086021505376,0.6324110671936759,0.021185059644090995,0.026986506746626684,0.0015025311509303575,0.001950043599973784,0.0003690411078604607,0.004289468641320493,288,88.18857803844377,548.2322727272727,0.5935600629464823,0.0,0.0,0.0,0.0
26,8,0.5,0.75,0.007871064467766116,0.010494752623688156,0.0014970059880239524,0.002071924094825072,0.0,0.0,197,76.01832485845577,451.09882352941185,0.4516773967611954,0.0,0.0,0.0,0.0
27,2,0.0714285714285714,1.0,0.0014992503748125937,0.0014992503748125937,0.0014970059880239522,0.0014970059880239522,0.0,0.0,32,22.62741699796952,435.28,0.0,0.0,0.0,0.0,0.0
28,29,0.7350427350427351,0.7512315270935961,0.0315359561598511,0.038980509745127435,0.0014970059880239522,0.001813637097979133,1.816326779269342e-05,3.3124219076231457e-05,299,91.26046737993369,619.2961403508772,0.5524375869015233,0.0,0.0,0.0,0.0
29,2,0.07692307692307687,1.0,0.0014992503748125937,0.0014992503748125937,0.0014970059880239522,0.0014970059880239522,0.0,0.0,127,89.80256121069154,796.3057142857143,0.4406539104937241,0.0,0.0,0.0,0.0
30,16,0.578125,0.725,0.016304347826086956,0.022488755622188904,0.0014970059880239522,0.0020988137379955095,2.8168951780062894e-06,8.508508508508508e-06,413,129.78077669670498,512.0134285714286,0.6441969506696894,0.0,0.0,0.0,0.0
31,4,0.12,1.0,0.004497751124437781,0.004497751124437781,0.001497005988023952,0.001497005988023952,0.0,0.0,307,131.15988970209858,862.736875,0.6311586608907879,0.0,0.0,0.0,0.0
32,27,0.5412844036697247,0.35327635327635326,0.014048531289910602,0.025487256371814093,0.0014922993677703475,0.0021703195360351286,0.0002471900529621994,0.0017572600796285005,529,149.85395549403418,511.6988235294118,0.6517522169763563,0.0,0.0,0.0,0.0
33,8,0.21875,1.0,0.010494752623688156,0.010494752623688156,0.0014970059880239522,0.0014970059880239522,0.0,0.0,30,9.870591240071256,923.0105263157897,0.5051446242375728,0.0,1.0,13.0,0.25
34,3,0.125,1.0,0.0029985007496251873,0.0029985007496251873,0.0014970059880239524,0.0014970059880239522,0.0,0.0,513,266.3813056503778,997.8025,0.338316225899483,0.0,0.0,0.0,0.0
