cluster_id,cluster_size,entity_reuse_ratio,internal_density,mean_degree_centrality,max_degree_centrality,mean_pagerank,max_pagerank,mean_betweenness_centrality,max_betweenness_centrality,creation_span_days,creation_std_days,avg_order_amount,order_amount_cv
0,23,0.6630434782608696,0.766798418972332,0.031123782371109524,0.03825136612021858,0.0018269262322077736,0.0023696076740497146,6.982932699876816e-05,0.000269907100199071,170,65.23196675071209,531.893125,0.7032911303059058
1,12,0.47916666666666663,0.4696969696969697,0.009411050394656952,0.014571948998178506,0.0018181818181818184,0.00238651213888761,9.124087591240877e-06,3.345498783454988e-05,247,84.71713182256835,489.415,0.6674449866490695
2,18,0.6666666666666667,0.6405228758169934,0.01983404169196519,0.0273224043715847,0.0018181818181818186,0.002258883809382586,2.2364250812817992e-05,6.585274012281311e-05,198,72.53335946510488,669.9152777777776,0.5307971885538795
3,20,0.675,0.7842105263157895,0.027140255009107467,0.03460837887067395,0.0018181818181818184,0.0023161962829290486,1.8294936091745423e-05,4.121619776342183e-05,97,35.54700372301737,527.52,0.4837299830230807
4,44,0.6629213483146068,0.5221987315010571,0.04123199205166418,0.06557377049180328,0.0018250904381696353,0.002758394884762481,0.0005045387737285814,0.012649245558629361,217,79.52643928565232,607.0653571428571,0.6038813121249119
5,2,0.09999999999999998,1.0,0.0018214936247723133,0.0018214936247723133,0.0018181818181818182,0.0018181818181818182,0.0,0.0,247,174.6553749530772,1064.29,0.0
6,13,0.4423076923076923,0.44871794871794873,0.009808042594927839,0.014571948998178506,0.0018181818181818184,0.0024681334758222045,3.0881527231892196e-05,0.0001551094890510949,243,83.35181846262049,523.0624,0.5770174459017503
7,33,0.7045454545454546,0.6420454545454546,0.037423414472594806,0.04735883424408015,0.0018181818181818184,0.002248611152710859,3.708909145742644e-05,0.00013360043241430103,123,41.051404397782825,626.1828571428572,0.5746699908818881
8,3,0.10526315789473684,1.0,0.0036429872495446266,0.0036429872495446266,0.0018181818181818184,0.0018181818181818182,0.0,0.0,238,120.90216430375982,866.5699999999999,0.7126179512254643
9,2,0.07692307692307687,1.0,0.0018214936247723133,0.0018214936247723133,0.0018181818181818182,0.0018181818181818182,0.0,0.0,497,351.4320702497141,840.9785714285715,0.2744330245524887
10,37,0.7162162162162162,0.6801801801801802,0.04460197902820854,0.058287795992714025,0.001818181818181819,0.002274678490493005,3.5583599669443816e-05,7.640370361975524e-05,86,30.917112864364743,477.76012987012996,0.6326094552676848
11,36,0.6875,0.5682539682539682,0.03622748431491602,0.04918032786885246,0.001818181818181818,0.002318914557020789,6.192914873642106e-05,0.00020402848070301912,291,94.5261868478783,564.7298484848486,0.6816916452427972
12,4,0.125,1.0,0.00546448087431694,0.00546448087431694,0.0018181818181818182,0.0018181818181818182,0.0,0.0,261,125.9642806513021,792.59,0.32120548590383813
